,tops,$b\bar b$,$\tau^+\tau^-$,$c\bar c$ + $s\bar s$,$\mu^+\mu^-$,other,$\gamma \gamma$,$g g$,phi_mass
3.0584590254265187,0.0,0.0,0.0,0.9005923959007774,0.03466566642813115,8.94206423093271e-05,0.00023910424844964225,0.06441341278033227,3.0584590254265187
3.0735362606089294,0.0,0.0,0.0,0.9028606604972194,0.03368539819558875,8.688591705889037e-05,0.00023469811293296564,0.06313235727720017,3.0735362606089294
3.0886878217897777,0.0,0.0,0.0,0.9050110060302572,0.03275866487018057,8.448968083589405e-05,0.0002305269896597553,0.06191531242906664,3.0886878217897777
3.103914075372717,0.0,0.0,0.0,0.9070519693981982,0.03188146189050323,8.22215715700756e-05,0.00022657501519691265,0.06075777212453142,3.103914075372717
3.1192153895676538,0.0,0.0,0.0,0.9089913031963328,0.031050159988157622,8.007219845763948e-05,0.00022282780443869395,0.05965563681261347,3.1192153895676538
3.1345921343996523,0.0,0.0,0.0,0.9108360616532971,0.03026146340027442,7.803303379982899e-05,0.00021927229581634815,0.05860516961681208,3.1345921343996523
3.150044681717885,0.0,0.0,0.0,0.9125926757333316,0.0295123734231743,7.609631866788801e-05,0.00021589661641605075,0.05760295790841023,3.150044681717885
3.165573405204622,0.0,0.0,0.0,0.9142670189304819,0.02880015654210455,7.425498041373686e-05,0.00021268996436633563,0.056645879582633514,3.165573405204622
3.181178680384269,0.0,0.0,0.0,0.9158644650563228,0.02812231649296267,7.250256035889006e-05,0.00020964250624133413,0.05573107338411437,3.181178680384269
3.1968608846324478,0.0,0.0,0.0,0.9173899391086876,0.027476569711298363,7.083315025146061e-05,0.00020674528765560586,0.05485591274210703,3.1968608846324478
3.2126203971851237,0.0,0.0,0.0,0.9188479621610864,0.026860823707541098,6.924133629767831e-05,0.0002039901554829306,0.05401798263959193,3.2126203971851237
3.228457599147774,0.0,0.0,0.0,0.9202426910551856,0.026273157976110424,6.772214975224903e-05,0.00020136969048403384,0.05321505912846761,3.228457599147774
3.2443728735046062,0.0,0.0,0.0,0.9215779535809921,0.025711807104614078,6.627102320345575e-05,0.00019887714931770428,0.05244509114187252,3.2443728735046062
3.2603666051278184,0.0,0.0,0.0,0.9228572797184078,0.02517514579757607,6.488375181378798e-05,0.00019650641520100093,0.05170618431700132,3.2603666051278184
3.2764391807869075,0.0,0.0,0.0,0.924083929436357,0.024661675570220004,6.355645888324652e-05,0.00019425195670738442,0.05099658657783251,3.2764391807869075
3.2925909891580214,0.0,0.0,0.0,0.9252609174805362,0.024170012902479675,6.228556519216273e-05,0.0001921087944310163,0.05031467525736094,3.2925909891580214
3.3088224208333563,0.0,0.0,0.0,0.9263910355124398,0.023698878672357843,6.106776165531915e-05,0.000190072475572657,0.04965894557797444,3.3088224208333563
3.3251338683306075,0.0,0.0,0.0,0.9274768719225757,0.023247088712811566,5.9899984884022654e-05,0.00018813905682571772,0.04902800032290311,3.3251338683306075
3.3415257261024567,0.0,0.0,0.0,0.9285208295870374,0.022813545357113336,5.877939530655527e-05,0.00018630509646164856,0.04842054056408119,3.3415257261024567
3.357998390546113,0.0,0.0,0.0,0.9295251418086798,0.02239722985582183,5.770335754450033e-05,0.0001845676571622242,0.047835357320791576,3.357998390546113
3.374552260012898,0.0,0.0,0.0,0.9304918866486531,0.021997195563725976,5.666942278186642e-05,0.00018292432218178011,0.04727132404265725,3.374552260012898
3.3911877348178794,0.0,0.0,0.0,0.9314229998236604,0.021612561808186492,5.567531289774398e-05,0.00018137322904661845,0.04672738982620869,3.3911877348178794
